Data;Tipo;Categoria;Valor;Descricao
2025-09-04;Trabalho;Entrega de Água;R$ 1.671,00;
2025-09-02;Outros;Presente Biogo;R$ 500,00;
2025-09-01;Outros;Já tinha;R$ 27,00;
2025-09-01;Educacao;Curso Banco de Dados;-R$ 270,00;
2025-09-09;Educacao;Material de Estudo;-R$ 40,00;
2025-10-01;Outros;Presente Biogo;R$ 1.000,00;
2025-10-13;Trabalho;Uber ;R$ 120,22;
2025-10-01;Comida;Comida;-R$ 88,00;
2025-10-01;Transporte;Transporte;-R$ 48,00;
2025-10-01;Investimento Ativo;Bicicleta;-R$ 913,00;
2025-10-01;Investimento Ativo;Bag p Entrega;-R$ 104,00;
2025-10-01;Investimento Ativo;Suporte Celular;-R$ 35,00;
2025-10-01;Educacao;Curso Banco de Dados;-R$ 250,00;
2025-10-01;Compras;Apostila Banco Brasil;-R$ 15,00;
2025-11-05;Outros;Doacao MBL;-R$ 20,00;
2025-11-07;Trabalho;Fiscal Concurso; R$ 120,00;
2025-11-10;Trabalho;Uber; R$ 82,43;
2025-11-12;Outros;Doacao Manifestacao; -R$ 5;
2025-11-12;Comida;Energético; -R$ 15;
2025-11-14;Academia;Academia; -R$ 9,90;
2025-11-17;Comida;Mcdonalds; -R$ 53,80;
2025-11-24;Lazer;Comprimido; -R$ 13,49;
2025-11-24;Lazer;Hotel; -R$ 30,00;
2025-11-26;Transporte; Passagem; -R$ 18,00;
2025-11-29;Educacao;Curso Banco de Dados; -R$ 250,00;
2025-11-29;Compras; Camisa missao; -R$ 90,00;
2025-12-01; Outros; Doação MBL; -R$ 20,00;
